nameOfTheJournal,ISSN,libraryID
现代化工,0253-4320,扩展库
现代雷达,1004-7859,扩展库
现代隧道技术,1009-6582,核心库
现代制造工程,1671-3133,扩展库
小型微型计算机系统,1000-1220,扩展库
协和医学杂志,1674-9081,核心库
心理科学,1671-6981,扩展库
心理科学进展,1671-3710,核心库
心理学报,0439-755X,核心库
新疆地质,1000-8845,扩展库
新疆农业科学,1001-4330,扩展库
新疆石油地质,1001-3873,核心库
新能源进展,2095-560X,核心库
新型炭材料（中英文）,2097-1605,核心库
信号处理,1003-0530,核心库
信息安全学报,2096-1146,核心库
信息安全研究,2096-1057,扩展库
信息网络安全,1671-1122,扩展库
信息与控制,1002-0411,核心库
烟草科技,1002-0861,核心库
岩矿测试,0254-5357,核心库
岩石矿物学杂志,1000-6524,核心库
岩石力学与工程学报,1000-6915,核心库
岩石学报,1000-0569,核心库
岩土工程学报,1000-4548,核心库
岩土力学,1000-7598,核心库
岩性油气藏,1673-8926,核心库
盐湖研究,1008-858X,扩展库
遥感技术与应用,1004-0323,核心库
遥感信息,1000-3177,核心库
遥感学报,1007-4619,核心库
药物不良反应杂志,1008-5734,扩展库
药物分析杂志,0254-1793,核心库
药学学报,0513-4870,核心库
液晶与显示,1007-2780,扩展库
医用生物力学,1004-7220,核心库
仪表技术与传感器,1002-1841,扩展库
仪器仪表学报,0254-3087,核心库
遗传,0253-9772,核心库
营养学报,0512-7955,核心库
应用概率统计,1001-4268,扩展库
应用海洋学学报,2095-4972,核心库
应用化工,1671-3206,扩展库
应用化学,1000-0518,扩展库
应用基础与工程科学学报,1005-0930,核心库
应用激光,1000-372X,扩展库
应用科学学报,0255-8297,扩展库
应用昆虫学报,2095-1353,核心库
应用力学学报,1000-4939,扩展库
应用气象学报,1001-7313,核心库
应用生态学报,1001-9332,核心库
应用声学,1000-310X,扩展库
应用数学和力学,1000-0887,扩展库
应用数学学报,0254-3079,核心库
应用与环境生物学报,1006-687X,核心库
油气藏评价与开发,2095-1426,扩展库
油气地质与采收率,1009-9603,核心库
油田化学,1000-4092,扩展库
铀矿地质,1000-0658,扩展库
有机化学,0253-2786,核心库
渔业科学进展,2095-9869,核心库
渔业现代化,1007-9580,扩展库
宇航材料工艺,1007-2330,核心库
宇航计测技术,1000-7202,扩展库
宇航学报,1000-1328,核心库
玉米科学,1005-0906,核心库
园艺学报,0513-353X,核心库
原子核物理评论,1007-4627,扩展库
原子能科学技术,1000-6931,核心库
云南大学学报.  自然科学版,0258-7971,扩展库
云南农业大学学报,1004-390X,扩展库
运筹学学报,1007-6093,核心库
运筹与管理,1007-3221,扩展库
杂交水稻,1005-3956,扩展库
灾害学,1000-811X,核心库
载人航天,1674-5825,核心库
噪声与振动控制,1006-1355,核心库
长安大学学报.  自然科学版,1671-8879,核心库
长江科学院院报,1001-5485,核心库
长江流域资源与环境,1004-8227,核心库
浙江大学学报.  工学版,1008-973X,核心库
浙江大学学报.  理学版,1008-9497,核心库
浙江大学学报.  农业与生命科学版,1008-9209,核心库
浙江大学学报.  医学版,1008-9292,核心库
浙江农林大学学报,2095-0756,核心库
浙江农业学报,1004-1524,扩展库
针刺研究,1000-0607,核心库
真空科学与技术学报,1672-7126,扩展库
振动、测试与诊断,1004-6801,核心库
振动工程学报,1004-4523,核心库
振动与冲击,1000-3835,核心库
震灾防御技术,1673-5722,扩展库
植物保护,0529-1542,核心库
植物保护学报,0577-7518,核心库
植物病理学报,0412-0914,核心库
植物科学学报,2095-0837,核心库
植物生理学报,2095-1108,核心库
植物生态学报,1005-264X,核心库
植物学报,1674-3466,核心库
植物研究,1673-5102,扩展库
植物遗传资源学报,1672-1810,核心库
植物营养与肥料学报,1008-505X,核心库
植物资源与环境学报,1674-7895,核心库
指挥与控制学报,2096-0204,核心库
制冷学报,0253-4339,核心库
质谱学报,1004-2997,核心库
智慧农业(中英文),2096-8094,核心库
智能科学与技术学报,2096-6652,核心库
智能系统学报,1673-4785,核心库
中草药,0253-2670,核心库
中成药,1001-1528,核心库
中国癌症杂志,1007-3639,核心库
中国艾滋病性病,1672-5662,核心库
中国安全科学学报,1003-3033,核心库
中国安全生产科学技术,1673-193X,扩展库
中国表面工程,1007-9289,核心库
中国病理生理杂志,1000-4718,核心库
中国病原生物学杂志,1673-5234,核心库
中国材料进展,1674-3962,核心库
中国草地学报,1673-5021,核心库
中国超声医学杂志,1002-0101,核心库
中国畜牧兽医,1671-7236,扩展库
中国畜牧杂志,0258-7033,扩展库
中国当代儿科杂志,1008-8830,核心库
中国地质,1000-3657,核心库
中国地质灾害与防治学报,1003-8035,扩展库
中国电机工程学报,0258-8013,核心库
中国电力,1004-9649,核心库
中国儿童保健杂志,1008-6579,扩展库
中国耳鼻咽喉颅底外科杂志,1007-1520,扩展库
